"team_id","team","team_name_short","team_name_symbol","competition_id","competition"
1,Manchester United,Man Utd,MUN,8,Premier League
2,Leeds United,Leeds,LEE,10,Championship
3,Arsenal,Arsenal,ARS,8,Premier League
4,Newcastle United,Newcastle,NEW,8,Premier League
5,Blackburn Rovers,Blackburn,BLB,10,Championship
6,Tottenham Hotspur,Spurs,TOT,8,Premier League
7,Aston Villa,A Villa,AVL,8,Premier League
8,Chelsea,Chelsea,CHE,8,Premier League
9,Coventry City,Coventry,COV,10,Championship
11,Everton,Everton,EVE,8,Premier League
13,Leicester City,Leicester,LEI,10,Championship
14,Liverpool,Liverpool,LIV,8,Premier League
17,Nottingham Forest,Nott'm Forest,NFO,8,Premier League
19,Sheffield Wednesday,Sheffield Wed,SHW,10,Championship
20,Southampton,Southampton,SOU,10,Championship
21,West Ham United,West Ham,WHU,8,Premier League
25,Middlesbrough,Middlesbrough,MID,10,Championship
31,Crystal Palace,C Palace,CRY,8,Premier League
35,West Bromwich Albion,West Brom,WBA,10,Championship
36,Brighton and Hove Albion,Brighton,BHA,8,Premier League
38,Huddersfield Town,Huddersfield,HUD,10,Championship
39,Wolverhampton Wanderers,Wolves,WOL,8,Premier League
40,Ipswich Town,Ipswich,IPS,10,Championship
41,Birmingham City,Birmingham,BIR,10,Championship
43,Manchester City,Man City,MCI,8,Premier League
45,Norwich City,Norwich,NOR,10,Championship
49,Sheffield United,Sheffield Utd,SHU,8,Premier League
52,Queens Park Rangers,QPR,QPR,10,Championship
54,Fulham,Fulham,FUL,8,Premier League
56,Sunderland,Sunderland,SUN,10,Championship
57,Watford,Watford,WAT,10,Championship
72,Rotherham United,Rotherham,RTH,10,Championship
76,Plymouth Argyle,Plymouth,PLY,10,Championship
80,Swansea City,Swansea,SWA,10,Championship
88,Hull City,Hull,HUL,10,Championship
90,Burnley,Burnley,BRN,8,Premier League
91,Bournemouth,Bournemouth,BOU,8,Premier League
94,Brentford,Brentford,BRE,8,Premier League
97,Cardiff City,Cardiff,CAR,10,Championship
102,Luton Town,Luton,LUT,8,Premier League
103,Millwall,Millwall,MIL,10,Championship
107,Preston North End,PNE,PNE,10,Championship
110,Stoke City,Stoke,STK,10,Championship
113,Bristol City,Bristol C,BCY,10,Championship
120,Milan,Milan,ACM,21,Serie A
121,Roma,A.S. Roma,ROM,21,Serie A
122,Bari,FC Bari 1908,BAI,105,Serie B
123,Bologna,Bologna,BOL,21,Serie A
124,Cagliari,Cagliari,CAG,21,Serie A
125,Fiorentina,Fiorentina,FIO,21,Serie A
126,Verona,Hellas Verona,VER,21,Serie A
127,Internazionale,Inter,INT,21,Serie A
128,Juventus,Juventus,JUV,21,Serie A
129,Lazio,SS Lazio,LAZ,21,Serie A
130,Lecce,US Lecce,LEC,21,Serie A
131,Parma,Parma Calcio 1913,PMA,105,Serie B
135,Torino,Torino,TNO,21,Serie A
136,Udinese,Udinese,UDI,21,Serie A
137,Venezia,Venezia FC,VEN,105,Serie B
138,Auxerre,Auxerre,AUX,104,Ligue 2
139,Bastia,Bastia,BAS,104,Ligue 2
140,Bordeaux,Bordeaux,BOR,104,Ligue 2
141,Le Havre,Le Havre,LHV,24,Ligue 1
142,Lens,Lens,LEN,24,Ligue 1
143,Lyon,Lyon,LYN,24,Ligue 1
144,Marseille,Marseille,MAR,24,Ligue 1
145,Metz,Metz,MET,24,Ligue 1
146,Monaco,Monaco,MCO,24,Ligue 1
147,Montpellier,Montpellier,MTP,24,Ligue 1
149,Paris Saint-Germain,Paris SG,PSG,24,Ligue 1
150,Rennes,Rennes,REN,24,Ligue 1
152,St Etienne,Saint-Étienne,STE,104,Ligue 2
153,Strasbourg,Strasbourg,SBG,24,Ligue 1
154,Troyes,Troyes,TRO,104,Ligue 2
156,FC Bayern München,FC Bayern,FCB,22,Bundesliga
157,Borussia Dortmund,Borussia Dortmund,BVB,22,Bundesliga
159,Eintracht Frankfurt,Eintracht Frankfurt,SGE,22,Bundesliga
160,SC Freiburg,Freiburg,SCF,22,Bundesliga
161,Hamburger SV,Hamburger SV,HSV,87,"2.Bundesliga"
162,Hertha BSC,Hertha BSC,BSC,87,"2.Bundesliga"
163,"1. FC Kaiserslautern","1. FC K'lautern",FCK,87,"2.Bundesliga"
164,Bayer 04 Leverkusen,Bayer 04,B04,22,Bundesliga
166,FC Hansa Rostock,Hansa Rostock,HRO,87,"2.Bundesliga"
167,FC Schalke 04,Schalke 04,S04,87,"2.Bundesliga"
169,VfB Stuttgart,VfB Stuttgart,VFB,22,Bundesliga
171,SV Werder Bremen,SV Werder,SVW,22,Bundesliga
172,VfL Wolfsburg,VfL Wolfsburg,WOB,22,Bundesliga
173,Alavés,Deportivo Alavés,ALV,23,La Liga
174,Athletic Club,Athletic Club,ATH,23,La Liga
175,Atlético de Madrid,Atlético de Madrid,ATM,23,La Liga
176,Celta de Vigo,RC Celta,CEL,23,La Liga
177,Espanyol,RCD Espanyol de Barcelona,ESP,102,Segunda division
178,Barcelona,FC Barcelona,BAR,23,La Liga
179,Sevilla,Sevilla FC,SFC,23,La Liga
181,Mallorca,RCD Mallorca,MLL,23,La Liga
184,Rayo Vallecano,Rayo Vallecano,RVM,23,La Liga
185,Real Betis,Real Betis,RBB,23,La Liga
186,Real Madrid,Real Madrid,RMA,23,La Liga
187,Real Oviedo,R. Oviedo,ROV,102,Segunda division
188,Real Sociedad,Real Sociedad,RSO,23,La Liga
189,Racing de Santander,R. Racing Club,RAC,102,Segunda division
190,Real Zaragoza,Real Zaragoza,RZA,102,Segunda division
191,Valencia CF,Valencia CF,VCF,23,La Liga
192,Real Valladolid,R. Valladolid CF,VLL,102,Segunda division
196,Boavista,Boavista,BOA,99,Primeira Liga
198,Feyenoord,Feyenoord,FEY,9,Eredivisie
201,FC Porto,Porto,PTO,99,Primeira Liga
202,Olympiakos,Olympiakos,OLY,113,Greek Super League
204,PSV,PSV,PSV,9,Eredivisie
208,Galatasaray,Galatasaray,GAL,115,Süper Lig
210,Servette,Servette,SER,135,Swiss Super League
215,Ajax,Ajax,AJA,9,Eredivisie
225,Debrecen,Debrecen,DEB,137,Hungarian Liga NB I
227,Ferencvárosi TC,Ferencváros,FTC,137,Hungarian Liga NB I
229,Ankaragücü,Ankaragücü,ANK,115,Süper Lig
232,Vitesse,Vitesse,VIT,9,Eredivisie
234,AEK Athens,AEK,AEK,113,Greek Super League
237,PAOK Salonika,PAOK,PAO,113,Greek Super League
241,RSC Anderlecht,Anderlecht,AND,112,Jupiler Pro League
249,Grasshopper Club Zürich,Grasshopper Club Zürich,GC,135,Swiss Super League
251,Benfica,Benfica,BEN,99,Primeira Liga
253,Fenerbahçe,Fenerbahçe,FEN,115,Süper Lig
255,Sporting CP,Sporting,SCP,99,Primeira Liga
264,Panathinaikos,Panathinaikos,PTK,113,Greek Super League
313,AZ,AZ,AZ,9,Eredivisie
316,Fortuna Sittard,Fortuna,FOR,9,Eredivisie
318,sc Heerenveen,Heerenveen,HEE,9,Eredivisie
320,N.E.C.,N.E.C.,NEC,9,Eredivisie
321,RKC Waalwijk,RKC,RKC,9,Eredivisie
323,Sparta Rotterdam,Sparta,SPA,9,Eredivisie
324,FC Twente,Twente,TWE,9,Eredivisie
325,FC Utrecht,Utrecht,UTR,9,Eredivisie
371,Vitória Guimarães,Vitória SC,VTG,99,Primeira Liga
372,Sporting Braga,Braga,BRG,99,Primeira Liga
373,Standard Liège,Standard,STA,112,Jupiler Pro League
378,Besiktas,Besiktas,BJK,115,Süper Lig
381,Antalyaspor,Antalya,ATY,115,Süper Lig
383,Trabzonspor,Trabzon,TZS,115,Süper Lig
387,"1. FC Köln","1. FC Köln",KOE,22,Bundesliga
396,Sint-Truidense VV,Sint-Truiden,STV,112,Jupiler Pro League
399,New York Red Bulls,NY Red Bulls,RBNY,98,US Major League Soccer
407,Las Palmas,UD Las Palmas,LPA,23,La Liga
413,Club Brugge,Club Brugge,BRU,112,Jupiler Pro League
414,KRC Genk,Genk,GNK,112,Jupiler Pro League
416,KVC Westerlo,KVC Westerlo,WES,112,Jupiler Pro League
421,Sporting Kansas City,Sporting Kansas,SKC,98,US Major League Soccer
424,PEC Zwolle,PEC,ZWO,9,Eredivisie
427,Toulouse,Toulouse,TOU,24,Ligue 1
428,Guingamp,Guingamp,GUI,104,Ligue 2
429,Lille,Lille,LIL,24,Ligue 1
430,Nantes,Nantes,NAN,24,Ligue 1
431,VfL Bochum 1848,VfL Bochum,BOC,22,Bundesliga
436,Colorado Rapids,Colorado Rapids,COL,98,US Major League Soccer
449,Villarreal,Villarreal CF,VIL,23,La Liga
450,Osasuna,C.A. Osasuna,OSA,23,La Liga
451,São Paulo,São Paulo,SAO,363,Brazilian Serie A
453,St. Gallen,St. Gallen,SG,135,Swiss Super League
454,Columbus Crew,Columbus,CLB,98,US Major League Soccer
456,Atalanta,Atalanta,ATA,21,Serie A
458,Brescia,Brescia Calcio,BSC,105,Serie B
459,Napoli,Napoli,NAP,21,Serie A
481,Basel,Basel,BAS,135,Swiss Super League
486,OFI,OFI,OFI,113,Greek Super League
490,Lausanne,Lausanne,LS,135,Swiss Super League
539,Excelsior,Excelsior,EXC,9,Eredivisie
540,Boca Juniors,Boca,BOC,724,Liga Profesional Argentina
570,Vélez Sarsfield,Vélez,VEL,724,Liga Profesional Argentina
595,Zürich,Zürich,FCZ,135,Swiss Super League
602,Internacional,Internacional,INT,363,Brazilian Serie A
603,Sampdoria,Sampdoria,SAM,105,Serie B
608,River Plate,River,RIV,724,Liga Profesional Argentina
609,Corinthians,Corinthians,COR,363,Brazilian Serie A
612,Tenerife,CD Tenerife,CDT,102,Segunda division
616,Sporting de Gijón,Real Sporting,RSG,102,Segunda division
625,Palmeiras,Palmeiras,PAL,363,Brazilian Serie A
666,Gil Vicente,Gil Vicente,GVI,99,Primeira Liga
667,Ternana,Ternana Calcio,TER,105,Serie B
678,KAA Gent,Gent,KAA,112,Jupiler Pro League
680,FC St. Pauli,FC St. Pauli,STP,87,"2.Bundesliga"
683,Borussia Mönchengladbach,Borussia M'gladbach,BMG,22,Bundesliga
684,"1. FC Nürnberg","1. FCN",FCN,87,"2.Bundesliga"
693,Sochaux,Sochaux,SOC,104,Ligue 2
694,Lorient,Lorient,LOR,24,Ligue 1
695,Empoli,Empoli F.C.,EMP,21,Serie A
707,FC Volendam,Volendam,VOL,9,Eredivisie
734,Go Ahead Eagles,GA Eagles,GAE,9,Eredivisie
735,Goiás,Goiás,GOI,363,Brazilian Serie A
742,Monza,Monza,MONZ,21,Serie A
745,Rosario Central,Rosario Central,CEN,724,Liga Profesional Argentina
749,Sporting de Charleroi,Charleroi,CHR,112,Jupiler Pro League
764,Cruzeiro,Cruzeiro,CZO,363,Brazilian Serie A
808,Hannover 96,Hannover 96,H96,87,"2.Bundesliga"
809,Karlsruher SC,KSC,KSC,87,"2.Bundesliga"
810,"1. FSV Mainz 05",Mainz 05,M05,22,Bundesliga
812,SpVgg Greuther Fürth,SpVgg Greuther Fürth,SGF,87,"2.Bundesliga"
816,"1. FC Union Berlin",Union Berlin,FCU,22,Bundesliga
844,Modena,Modena,MOD,105,Serie B
846,Argentinos Juniors,Argentinos,ARG,724,Liga Profesional Argentina
848,Mechelen,Mechelen,KVM,112,Jupiler Pro League
849,Royal Antwerp,Antwerp,AWP,112,Jupiler Pro League
855,Levante,Levante UD,LUD,102,Segunda division
862,Brest,Brest,BRS,24,Ligue 1
875,Racing Ferrol,Racing Ferrol,RCF,102,Segunda division
927,Estudiantes de La Plata,Estudiantes,EST,724,Liga Profesional Argentina
928,New England Revolution,New England,NE,98,US Major League Soccer
935,Lugano,Lugano,LUG,135,Swiss Super League
950,Albacete,Albacete BP,ABP,102,Segunda division
951,Burgos CF,Burgos CF,BUR,102,Segunda division
953,Eibar,SD Eibar,EIB,102,Segunda division
954,Elche,Elche CF,ECF,102,Segunda division
957,Leganés,C.D. Leganés,LEG,102,Segunda division
986,Racing Club,Racing,RAC,724,Liga Profesional Argentina
987,Aris,Aris,ARTH,113,Greek Super League
990,Genoa,Genoa,GEN,21,Serie A
